cv_0_pred_quantified_delivery,quantified_delivery,smiles,quantified_toxicity,Formulation,Helper_lipid_ID,Comment,Lipid/Cells,mRNA/Cells,Lipid_name,Experiment_ID,Cargo_type,Model_type,Experiment_weight,unnormalized_delivery,Cationic_Lipid_Mol_Ratio,Cationic_Lipid_to_mRNA_weight_ratio,mRNA/cells,toxicity_class,delivery_class,unnormalized_toxicity,Prediction_split_name
0.13582225,0.41047,CC(C)=CCC/C(C)=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCCN1CCN(C)CC1)CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C,0.99425,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2714",3.422451636210043,1.252762968495368,2A2-Ne,Lee_unsat,mRNA,IGROV1,1.0,4.0,,,,0.0,1.0,0.99425,Lee_unsat
-0.49503815,-0.43352,CC(C)=CCC/C(C)=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C)CCN(C)C,0.94444,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2715",3.3652366449401283,1.252762968495368,2A9-Ne,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,0.94444,Lee_unsat
-0.9123595,-1.53719,CC(C)=CCC/C(C)=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C,0.98084,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2716",3.3773445214851754,1.252762968495368,2A9V-Ne,Lee_unsat,mRNA,IGROV1,1.0,1.0,,,,0.0,0.0,0.98084,Lee_unsat
-0.95139635,-1.53719,CC(C)=CCC/C(C)=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCO)CCCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C)CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C,0.91954,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2717",3.6243099924977136,1.252762968495368,3A4-Ne,Lee_unsat,mRNA,IGROV1,1.0,1.0,,,,0.0,0.0,0.91954,Lee_unsat
-0.42417058,-0.43352,CC(C)=CCC/C(C)=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCCN1CCN(CCCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C)CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C)CC1)CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C,0.96935,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2718",3.8076702223927503,1.252762968495368,4A1-Ne,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,0.96935,Lee_unsat
-0.29309392,-0.43352,CC(C)=CCC/C(C)=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C)CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C)CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C,0.96935,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2719",3.788584994244936,1.252762968495368,4A3-Ne,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,0.96935,Lee_unsat
-0.474517,-0.43352,CC(C)=CCC/C(C)=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C)CCN(CCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C)CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C)CCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C)CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C,0.9272,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2720",3.979871875061105,1.252762968495368,6A3-Ne,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,0.9272,Lee_unsat
-0.21551707,-0.43352,C/C=C/CCCSCC(C)C(=O)OCCOC(=O)CCN(CCCN1CCN(CCCN(CCC(=O)OCCOC(=O)C(C)CSCCC/C=C/C)CCC(=O)OCCOC(=O)C(C)CSCCC/C=C/C)CC1)CCC(=O)OCCOC(=O)C(C)CSCCC/C=C/C,0.86782,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2725",3.726759104381723,1.252762968495368,4A1-4T,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,0.86782,Lee_unsat
0.2951782,0.41047,C/C=C/CCCSCC(C)C(=O)OCCOC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCOC(=O)C(C)CSCCC/C=C/C)CCC(=O)OCCOC(=O)C(C)CSCCC/C=C/C)CCC(=O)OCCOC(=O)C(C)CSCCC/C=C/C,0.86782,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2726",3.703321795245405,1.252762968495368,4A3-4T,Lee_unsat,mRNA,IGROV1,1.0,4.0,,,,0.0,1.0,0.86782,Lee_unsat
-0.19984192,-0.43352,C/C=C\CCCSCC(C)C(=O)OCCOC(=O)CCN(CCCN1CCN(CCCN(CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C)CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C)CC1)CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C,0.92529,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2732",3.726759104381723,1.252762968495368,4A1-4C,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,0.92529,Lee_unsat
0.22113162,-0.43352,C/C=C\CCCSCC(C)C(=O)OCCOC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C)CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C)CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C,0.92529,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2733",3.703321795245405,1.252762968495368,4A3-4C,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,0.92529,Lee_unsat
0.2600385,0.41047,CC/C=C\C/C=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCCN1CCN(C)CC1)CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC,0.95019,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2735",3.3764661340962965,1.252762968495368,2A2-SC8/2,Lee_unsat,mRNA,IGROV1,1.0,4.0,,,,0.0,1.0,0.95019,Lee_unsat
-0.4276185,-0.43352,CC/C=C\C/C=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC)CCN(C)C,0.94061,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2736",3.3139984179883344,1.252762968495368,2A9-SC8/2,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,0.94061,Lee_unsat
-0.4892126,-0.43352,CC/C=C\C/C=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC,0.91762,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2737",3.327250379244418,1.252762968495368,2A9V-SC8/2,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,0.91762,Lee_unsat
-0.8920056,-1.53719,CC/C=C\C/C=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCO)CCCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC)CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC,0.92912,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2738",3.5780624950798554,1.252762968495368,3A4-SC8/2,Lee_unsat,mRNA,IGROV1,1.0,1.0,,,,0.0,0.0,0.92912,Lee_unsat
0.23137848,0.41047,CC/C=C\C/C=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCCN1CCN(CCCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC)CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC)CC1)CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC,0.99234,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2739",3.7677520617180815,1.252762968495368,4A1-SC8/2,Lee_unsat,mRNA,IGROV1,1.0,4.0,,,,0.0,1.0,0.99234,Lee_unsat
1.0628785,1.50764,CC/C=C\C/C=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC)CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC)CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC,0.87356,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2740",3.746586358234752,1.252762968495368,4A3-SC8/2,Lee_unsat,mRNA,IGROV1,1.0,5.69,,,,0.0,2.0,0.87356,Lee_unsat
1.3664128,1.80628,CC/C=C\C/C=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC)CCN(CCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC)CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC)CCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC)CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC,0.95402,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2741",3.943309635474374,1.252762968495368,6A3-SC8/2,Lee_unsat,mRNA,IGROV1,1.0,6.15,,,,0.0,2.0,0.95402,Lee_unsat
0.8735952,1.50764,CC(C)=CCC/C(C)=C/CC/C(C)=C/CSCC(C)C(=O)OCCOC(=O)CCN(CCCN1CCN(C)CC1)CCC(=O)OCCOC(=O)C(C)CSC/C=C(\C)CC/C=C(\C)CCC=C(C)C,0.98084,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2742",3.519821128266478,1.252762968495368,2A2-Far,Lee_unsat,mRNA,IGROV1,1.0,5.69,,,,0.0,2.0,0.98084,Lee_unsat
-1.0321579,-1.53719,CC(C)=CCC/C(C)=C/CC/C(C)=C/CSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C(\C)CC/C=C(\C)CCC=C(C)C)CCN(C)C,0.95594,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2743",3.4727236378628867,1.252762968495368,2A9-Far,Lee_unsat,mRNA,IGROV1,1.0,1.0,,,,0.0,0.0,0.95594,Lee_unsat
-0.62565565,-0.43352,CC(C)=CCC/C(C)=C/CC/C(C)=C/CSCC(C)C(=O)OCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCOC(=O)C(C)CSC/C=C(\C)CC/C=C(\C)CCC=C(C)C,0.91762,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2744",3.4826421068189366,1.252762968495368,2A9V-Far,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,0.91762,Lee_unsat
-0.49018994,-0.43352,CC(C)=CCC/C(C)=C/CC/C(C)=C/CSCC(C)C(=O)OCCOC(=O)CCN(CCO)CCCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C(\C)CC/C=C(\C)CCC=C(C)C)CCC(=O)OCCOC(=O)C(C)CSC/C=C(\C)CC/C=C(\C)CCC=C(C)C,1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2745",3.7201107101799264,1.252762968495368,3A4-Far,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,1.0,Lee_unsat
-0.3634927,-0.43352,CC(C)=CCC/C(C)=C/CC/C(C)=C/CSCC(C)C(=O)OCCOC(=O)CCN(CCCN1CCN(CCCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C(\C)CC/C=C(\C)CCC=C(C)C)CCC(=O)OCCOC(=O)C(C)CSC/C=C(\C)CC/C=C(\C)CCC=C(C)C)CC1)CCC(=O)OCCOC(=O)C(C)CSC/C=C(\C)CC/C=C(\C)CCC=C(C)C,0.92146,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2746",3.889947175012421,1.252762968495368,4A1-Far,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,0.92146,Lee_unsat
-0.47683492,-0.43352,CC(C)=CCC/C(C)=C/CC/C(C)=C/CSCC(C)C(=O)OCCOC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C(\C)CC/C=C(\C)CCC=C(C)C)CCC(=O)OCCOC(=O)C(C)CSC/C=C(\C)CC/C=C(\C)CCC=C(C)C)CCC(=O)OCCOC(=O)C(C)CSC/C=C(\C)CC/C=C(\C)CCC=C(C)C,0.92146,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2747",3.874758138280495,1.252762968495368,4A3-Far,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,0.92146,Lee_unsat
-1.1310602,-1.53719,CC(C)=CCC/C(C)=C/CC/C(C)=C/CSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C(\C)CC/C=C(\C)CCC=C(C)C)CCN(CCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C(\C)CC/C=C(\C)CCC=C(C)C)CCC(=O)OCCOC(=O)C(C)CSC/C=C(\C)CC/C=C(\C)CCC=C(C)C)CCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C(\C)CC/C=C(\C)CCC=C(C)C)CCC(=O)OCCOC(=O)C(C)CSC/C=C(\C)CC/C=C(\C)CCC=C(C)C,0.86782,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2748",4.053640631912548,1.252762968495368,6A3-Far,Lee_unsat,mRNA,IGROV1,1.0,1.0,,,,0.0,0.0,0.86782,Lee_unsat
0.046924815,0.41047,CCCCCCSCC(C)C(=O)OCCOC(=O)CCN(CCCN1CCN(C)CC1)CCC(=O)OCCOC(=O)C(C)CSCCCCCC,1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2749",3.383319139049451,1.252762968495368,2A2-SC6,Lee_unsat,mRNA,IGROV1,1.0,4.0,,,,0.0,1.0,1.0,Lee_unsat
-0.27203432,-0.43352,CCCCCCSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSCCCCCC)CCN(C)C,1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2750",3.321654478787611,1.252762968495368,2A9-SC6,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,1.0,Lee_unsat
-0.2808484,-0.43352,CCCCCCSCC(C)C(=O)OCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCOC(=O)C(C)CSCCCCCC,1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2751",3.3347312028969744,1.252762968495368,2A9V-SC6,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,1.0,Lee_unsat
-0.5646665,-1.53719,CCCCCCSCC(C)C(=O)OCCOC(=O)CCN(CCO)CCCN(CCC(=O)OCCOC(=O)C(C)CSCCCCCC)CCC(=O)OCCOC(=O)C(C)CSCCCCCC,1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2752",3.584996188451511,1.252762968495368,3A4-SC6,Lee_unsat,mRNA,IGROV1,1.0,1.0,,,,0.0,0.0,1.0,Lee_unsat
0.4846216,0.41047,CCCCCCSCC(C)C(=O)OCCOC(=O)CCN(CCCN1CCN(CCCN(CCC(=O)OCCOC(=O)C(C)CSCCCCCC)CCC(=O)OCCOC(=O)C(C)CSCCCCCC)CC1)CCC(=O)OCCOC(=O)C(C)CSCCCCCC,0.90613,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2753",3.773744446820072,1.252762968495368,4A1-SC6,Lee_unsat,mRNA,IGROV1,1.0,4.0,,,,0.0,1.0,0.90613,Lee_unsat
1.5052311,1.50764,CCCCCCSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSCCCCCC)CCN(CCN(CCC(=O)OCCOC(=O)C(C)CSCCCCCC)CCC(=O)OCCOC(=O)C(C)CSCCCCCC)CCN(CCC(=O)OCCOC(=O)C(C)CSCCCCCC)CCC(=O)OCCOC(=O)C(C)CSCCCCCC,1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2755",3.948830759736345,1.252762968495368,6A3-SC6,Lee_unsat,mRNA,IGROV1,1.0,5.69,,,,0.0,2.0,1.0,Lee_unsat
0.031624593,0.41047,CCC/C=C/CSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C/CCC)CCN(C)C,0.9751,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2757",3.2619482826353634,1.252762968495368,2A9-2T,Lee_unsat,mRNA,IGROV1,1.0,4.0,,,,0.0,1.0,0.9751,Lee_unsat
-0.6492269,-1.53719,CCC/C=C/CSCC(C)C(=O)OCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCOC(=O)C(C)CSC/C=C/CCC,0.97126,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2758",3.2764326644371877,1.252762968495368,2A9V-2T,Lee_unsat,mRNA,IGROV1,1.0,1.0,,,,0.0,0.0,0.97126,Lee_unsat
-0.7298457,-0.43352,CCC/C=C/CSCC(C)C(=O)OCCOC(=O)CCN(CCO)CCCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C/CCC)CCC(=O)OCCOC(=O)C(C)CSC/C=C/CCC,0.95785,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2759",3.5307085428288203,1.252762968495368,3A4-2T,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,0.95785,Lee_unsat
-0.5220952,-0.43352,CCC/C=C/CSCC(C)C(=O)OCCOC(=O)CCN(CCCN1CCN(CCCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C/CCC)CCC(=O)OCCOC(=O)C(C)CSC/C=C/CCC)CC1)CCC(=O)OCCOC(=O)C(C)CSC/C=C/CCC,1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2760",3.726759104381723,1.252762968495368,4A1-2T,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,1.0,Lee_unsat
-0.22293656,-0.43352,CCC/C=C/CSCC(C)C(=O)OCCOC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C/CCC)CCC(=O)OCCOC(=O)C(C)CSC/C=C/CCC)CCC(=O)OCCOC(=O)C(C)CSC/C=C/CCC,1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2761",3.703321795245405,1.252762968495368,4A3-2T,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,1.0,Lee_unsat
-0.0057411296,0.41047,CCC/C=C/CSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C/CCC)CCN(CCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C/CCC)CCC(=O)OCCOC(=O)C(C)CSC/C=C/CCC)CCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C/CCC)CCC(=O)OCCOC(=O)C(C)CSC/C=C/CCC,0.93295,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2762",3.9052298430594576,1.252762968495368,6A3-2T,Lee_unsat,mRNA,IGROV1,1.0,4.0,,,,0.0,1.0,0.93295,Lee_unsat
